code	product_name	nova_group	ingredients	hu_nova_score
code	product_name	nova_group	ingredients	hu_nova_score
00026700547300	Ventura, Soybean - Peanut Frying Oil Blend	4	PEANUT OIL, SOYBEAN OIL, TBHQ AND CITRIC ACID ADDED TO PROTECT FLAVOR, DIMETHYLPOLYSILOXANE, AN ANTI-FOAMING AGENT ADDED.	4
0002859038722	Fancy Truffles	4	PALM OIL, SUGAR, LOW FAT COCOA, WHEY POWDER, COCOA POWDER, SOY LECITHIN, VANILLA EXTRACT. FANCY TRUFFLES. INGREDIENTS: VEGETABLE FAT (PALM, PALM KERNEL), SUGAR, LOW FAT COCOA POWDER, SWEET WHEY POWDER, COCOA POWDER, EMULSIFIER: E322 (SOY); NATURAL VANILLA FLAVORING.	4
0002859067142	Italian Style Grazioso Selection	4	SUGAR, PARTLY HYDROGENATED VEGETABLE FATS (PALM, SHEA, RAPESEED, SOY, SUNFLOWER, COCONUT; IN VARYING PROPORTIONS), COCOA MASS, WHOLE MILK POWDER, COCOA BUTTER, SKIMMED MILK POWDER, FAT REDUCED COCOA POWDER, WHEY POWDER (FROM MILK), MILK FAT, EMULSIFIERS (SOY LECITHINS, POLYGLYCEROL POLYRICINOLEATE), FLAVORINGS.	4
0003006010349	Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER, COCOA BUTTER, CHOCOLATE LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003006012749	Edelvollmilch- Chocolade Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER,COCOA BUTTER, COCOA LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003006013180	Edelvollmilch-Chocolade Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER,COCOA BUTTER, COCOA LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003026400168	Mochi, Cashew-Date	4	ORGANIC SWEET BROWN RICE, FILTERED WATER, DATES, CASHEWS, CINNAMON, NATURAL VANILLA FLAVOR, AND SEA SALT.	3
0003160279507	Mit Aprikosen Fruchtfullung Lebkuchen Herzen	4	GLUCOSE FRUCTOSE SYRUP, WHEAT FLOUR, SUGAR, APRICOTS DRIED PASSED, COCOA BUTTER, WHEY POWDER, COCOA MASS, SKIMMED MILK POWDER, CARAMEL SUGAR SYRUP, RAISING AGENTS: DISODIUM DIPHOSPHATE, SODIUM HYDROGEN CARBONATE, POTASSIUM CARBONATE; PURE BUTTERFAT, LACTOSE, ACID: CITRIC ACID; GELLING AGENT: PECTIN; SPICES; ACIDITY REGULATOR; POTASSIUM CITRATE; EMULSIFIER; SOYA LECITHINS; SALT, NATURAL FLAVORING.	4
00038232	Stuffed Queen Sevillano Olives	4	OLIVES STUFFED WITH PIMENTO PASTE, WATER, SALT, VINEGAR (CONTAINS SULFITES), SODIUM ALGINATE, GUAR GUM.	4
00041500007007	Yellow Mustard	3	DISTILLED WHITE VINEGAR, MUSTARD SEED, WATER, SLAT, TURMERIC, NATURAL FLAVOR AND SPICES. 	4
0005216437657	Coconut Tree Brand, Pho', Pho Soup Seasoning Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216437664	Coconut Tree Brand, Pho Ga Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216437688	Coconut Tree Brand, Kho Tieu Seasoning Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES	3
0005216437695	Coconut Tree Brand, Spice Cube Soup Sessoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES.	3
0005216437732	Coconut Tree Brand, Spice Cube, Hoanh Thanh Soup Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR	3
0005216437763	Bo Kho Stewed Beef Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216438579	Coconut Tree Brand, Spice Cube Soup Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216438623	Coconut Tree Brand, Vegetarian Soup Cubes	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES.	3
00052603965712	Oat Non-Dairy Beverage	4	FILTERED WATER, OATS*, OAT BRAN*, TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, RIBOFLAVIN (B2), VITAMIN A PALMITATE, VITAMIN D2.	4
0005404490105	Extra Virgin Olive Oil	2	EXTRA VIRGIN OLIVE OIL.	1
0006167023135	Cashews, Sesame And Pistachios Brittle Slice	4	CASHEWNUTS 45%, SESAME 10%, PISTACHIOS 5%, SUGAR, GLUCOSE SYRUP, AROMALEMON 0,5%.	4
0006423460193	Chocolart, Assorted Milk Chocolate Pralines	4	SUGAR, VEGETABLE OIL (COCONUT (TREE NUT), PALM KERNEL, PALM COCOA BUTTER, WHOLE MILK POWDER, COCOA MASS, WHEY POWDER, LOWFAT COCOA POWDER, CEREALS (CORN FLOUR, RICE FLOUR, WHEAT FLOUR, SUGAR, LOWFAT COCOA POWDER, BARLEY'S MALT EXTRACT, SAL-T), SKIM MILK POWDER, HAZELNUTS (TREE NUT), SOY LECITHIN (EMULSIFIER), ARTIFICIAL FLAVOURINGS.	4
0006423461077	Passion, Assorted Milk Chocolate	4	SUGAR, VEGETABLE FATS (COCONUT (TREE NUT), PALM KERNEL, PALM), COCOA BUTTER, WHOLE MILK POWDER, COCOA MASS, LOW FAT COCOA POWDER, WHEY POWDER, CEREALS (CORN FLOUR, RICE FLOUR, WHEAT FLOUR, SUGAR, LOW FAT COCOA POWDER, BARLEY'S MALT EXTRACT, SALT), HAZELNUTS, EMULSIFIER: SOYA LECITHIN, SKIMMED MILK POWDER, FLAVOURINGS.	4
0006446001977	Milk Chocolate Balls With Cream And Chocolate	4	SUGAR, WHOLE MILK POWDER, COCOA BUTTER, VEGETABLE FATS (OIL PALM, COCONUT), CHOCOLATE LIQUOR, SKIMMED MILK POWDER, LACTOSE, EMULSIFIER, SOY LECITHIN, NATURAL VANILLA FLAVOR.	4
0006446002264	Chocolate Balls Filled With Milk Cream And Chocolate	4	SUGAR, WHOLE MILK POWDER, COCOA BUTTER, VEGETABLE FATS (OIL PALM, COCONUT), CHOCOLATE LIQUOR, SKIMMED MILK POWDER, LACTOSE, EMULSIFIER, SOY LECITHIN, NATURAL VANILLA FLAVOR.	4
0006446002660	Merry Christmas Chocolate Balls	4	SUGAR, COCOA BUTTER, WHOLE MILK POWDER, VEGETABLE FAT (OIL PALM), CHOCOLATE LIQUOR, SWEET WHEY POWDER, COCOA POWDER (LOW FAT), LACTOSE, EMULSIFIER: SOY LECITHIN, NATURAL VANILLA FLAVOR.	4
0006446002677	Merry Christmas Chocolate Balls Filled With Praline Cream	4	SUGAR, VEGETABLE FATS (OIL PALM), WHOLE MILK POWDER, COCOA BUTTER CHOCOLATE LIQUOR, SWEET WHEY POWDER, COCOA POWDER (LOW FAT), LACTOSE, EMULSIFIER: SOY LECITHIN, NATURAL VANILLA FLAVOR.	4
0006446003520	Merry Christmas Minis Chocolate Bar	4	SUGAR, WATER, WHOLE MILK POWDER, CHOCOLATE LIQUOR, EMULSIFIER, SOY LECITHIN.	4
0006446004084	Milk Chocolate	4	SUGAR, COCOA BUTTER, WHOLE MILK POWDER, CHOCOLATE LIQUOR, EMULSIFIER SOY LECITHIN.	4
00069276020235	Chutney, Hot Mango Hot	4	SUGAR, MANGO, SALT, ACETIC ACID, SPICES (INCLUDING PAPRIKA), GARLIC, CRUSHED RED PEPPER FLAKES.	4
00069276070056	Dopiaza Curry Simmer Sauce, Mild	4	WATER, TOMATO, ONION, TOMATO PASTE, CANOLA OIL, SPICES (INCLUDING TURMERIC AND PAPRIKA), VINEGAR, CONTAINS 2% OR LESS OF SUGAR, ONION POWDER, CORN STARCH, GARLIC POWDER, SEA SALT, ROASTED CUMIN, DRIED CILANTRO, DRIED FENUGREEK LEAF, DRIED MINT.	4
00070650800367	Sweet Chili Sauce	4	SYRUP (SUCROSE SYRUP, GLUCOSE SYRUP, FRUCTOSE SYRUP), VINEGAR, WATER, PICKLED RED CHILI, GARLIC, SALT, XANTHAN GUM, PAPRIKA.	4
00070662455029	Top Ramen Noodle Soup	4	ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL, SALT, CONTAINS LESS THAN 2% OF AUTOLYZED YEAST EXTRACT, CALCIUM SILICATE, CITRIC ACID, DISODIUM GUANYLATE, DISODIUM INOSINATE, DRIED LEEK FLAKE, GARLIC POWDER, HYDROLYZED CORN PROTEIN, HYDROLYZED SOY PROTEIN, MALTODEXTRIN, MONOSODIUM GLUTAMATE, NATURAL AND ARTIFICIAL FLAVOR, ONION POWDER, POTASSIUM CARBONATE, POWDERED CHICKEN, RENDERED CHICKEN FAT, SODIUM ALGINATE, SODIUM CARBONATE, SODIUM TRIPOLYPHOSPHATE, SOYBEAN, SPICE AND COLOR, SUGAR, TBHQ (PRESERVATIVE), WHEAT.	4
00071828001234	Extra Hot Chinese Mustard	4	WATER, MUSTARD SEED, WHITE DISTILLED VINEGAR, SUGAR, SALT, FLAVORS (ARTIFICIAL, NATURAL), GARLIC, SPICES, XANTHAN GUM, CITRIC ACID, TURMERIC, LICORICE ROOT, CALCIUM DISODIUM EDTA (RETAINS PRODUCT FRESHNESS), GINGER.	4
00072220009989	Great Seed Bread	4	WATER, BROWN RICE FLOUR, TAPIOCA STARCH, TAPIOCA SYRUP, WHOLE GRAIN SORGHUM FLOUR, SUNFLOWER SEEDS, PUMPKIN SEEDS, WHOLE GRAIN MILLET SEEDS, XANTHAN GUM, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: WHOLE EGGS, WHOLE GRAIN AMARANTH SEEDS, WHOLE GRAIN TEFF SEED, FLAX SEEDS, POPPY SEEDS, EXTRA VIRGIN OLIVE OIL, SALT, CULTURED RICE FLOUR, YEAST, ENZMYES.	4
00072457990227	Fruit Spredad, Strawberry	4	INGREDIENTS*: PURIFIED WATER, STRAWBERRY FLAVOR, NATURAL FLAVORS, SUCRALOSE, CITRIC ACID, CELLULOSE GEL, PURPLE SWEET POTATO COLOR, XANTHAN GUM, SODIUM BENZOATE (TO PRESERVE FRESHNESS), FD&C RED #40, RED LAKE #40	4
00073448	21 Seasoning Salute	1	ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. 	4
00074880030013	Sauce Mix	4	WHEAT FLOUR, EDIBLE OILS (PALM OIL, CANOLA OIL), SALT, SUGAR, CURRY POWDER, SPICES, CARAMEL, MONOSODIUM GLUTAMATE, MALIC ACID, DISODIUM GUANYLATE, DISODIUM INOSINATE.	4
00074880030037	Golden Curry, Sauce Mix	4	WHEAT FLOUR, VEGETABLE OILS (PALM OIL, RAPESEED OIL), SALT, CURRY POWDER, SUGAR, MONOSODIUM GLUTAMATE, CARAMEL COLOR, SPICES (CHILI PEPPER, PEPPER, GARLIC, CELERY SEED, MUSTARD), MALIC ACID, DISODIUM INOSINATE, DISODIUM GUANYLATE, CHILI PEPPER EXTRACT.	4
0007715997786	Creamy And Delicious Evaporated Filled Milk	4	NONFAT MILK, PARTIALLY HYDROGENATED SOYBEAN OIL, CONTAINS 0.5% OR LESS OF: DIPOTASSIUM PHOSPHATE, CARRAGEENAN, VITAMIN A PALMITATE, VITAMIN D3.	4
0007781502693	Whole Wheat Flour Tortillas	4	WHOLE WHEAT FLOUR, WATER, SHORTENING (SOYBEAN OIL, HYDROGENATED SOYBEAN OIL), BAKING BLEND (SALT, MONO- AND DIGLYCERIDES, SODIUM BICARBONATE, DEXTROSE, CALCIUM PROPIONATE, SODIUM ALUMINUM PHOSPHATE, SODIUM ALUMINUM SULFATE, FUMARIC ACID, CORN STARCH, YEAST, POTASSIUM SORBATE, CELLULOSE GUM, ENZYMES, RICE FLOUR, SODIUM METABISULFITE, XANTHAN GUM).	4
0007815002489	Flour Tortillas	4	FLOUR (WHEAT FLOUR, ENRICHMENT (NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), ENZYME), WATER, SHORTENING (SOYBEAN OIL, HYDROGENATED SOYBEAN OIL), BAKING BLEND (SALT, MONO AND DIGLYCERIDES, SODIUM BICARBONATE, DEXTROSE, CALCIUM PROPIONATE, SODIUM ALUMINUM PHOSPHATE, SODIUM ALUMINUM SULFATE, FUMARIC ACID, CORN STARCH, YEAST, POTASSIUM SORBATE, CELLULOSE GUM, ENZYMES, RICE FLOUR, SODIUM METABISULFITE, XANTHAN GUM).	4
00078895300024	Panda Brand, Oyster Flavored Sauce	4	WATER, SUGAR, SALT, OYSTER EXTRACTIVES (OYSTER WATER, SALT), MONOSODIUM GLUTAMATE AS A FLAVOR ENHANCER, MODIFIED CORN STARCH, WHEAT FLOUR, CARAMEL COLOR.	4
00079211	Mexicaine Quiche	4	FILLING: MILK, EGGS, CHEDDAR CHEESE (CULTURED MILK, SALT, MICROBIAL RENNET, ANNATTO [COLOR]), MONTEREY JACK CHEESE(CULTURED MILK, SALT, MICROBIAL RENNET), GREEN CHILE PEPPERS (GREEN CHILES, SALT, CITRIC ACID, CALCIUM CHLORIDE), HALF AND HALF (MILK AND CREAM), CORNSTARCH, SEASONING (SALT, CHILE PEPPERS, SPICES, PAPRIKA). PASTRY: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM, SALT), SUNFLOWER OIL, WATER, SALT, SOY LECITHIN.	4
00079969	Dry Roasted & Salted Almonds	3	ALMONDS, SALT.	3
0008005158306	Nuovo Pasta, Organic Ravioli, Butternut Squash	4	FILLING: ORGANIC BUTTERNUT SQUASH, ORGANIC RICOTTA CHEESE (MILK, VINEGAR, SALT), ORGANIC CHEDDAR CHEESE (PASTEURIZED COW'S MILK, SALT, CHEESE CULTURES, ENZYMES), ORGANIC PARMESAN CHEESE (CULTURED MILK, POWDERED CELLULOSE, MICROBIAL ENZYMES), ORGANIC BREADCRUMBS (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST, SEA SALT), ORGANIC HONEY, ORGANIC EGGS, ORGANIC CANOLA OIL, SEA SALT, ORGANIC BLACK PEPPER, ORGANIC NUTMEG, ORGANIC CINNAMON, ORGANIC ANNATTO OIL. PASTA: ORGANIC DURUM FLOUR, WATER, ORGANIC EGGS, ORGANIC TURMERIC OIL.	4
0008005658134	Ravioli Five Cheese	4	FILLING: RICOTTA CHEESE (MILK, WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), PARMESAN CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES), ASIAGO CHEESE (MILK, ENZYMES, SALT), MOZZARELLA CHEESE (CULTURED PASTEURIZED WHOLE MILK AND SKIM MILK, SALT, ENZYMES), ROMANO CHEESE (MILK, SALT, ENZYMES), MILK, NATURAL PARMESAN FLAVOR (PARMESAN CHEESE {MILK, CULTURE, SALT, ENZYMES}, SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL, OLIVE OIL, CREME POWDER, SUGAR AND NATURAL FLAVORINGS), OLIVE OIL, EGG WHITES, BLACK PEPPER, SALT, NUTMEG. PASTA: GLUTEN FREE FLOUR (MAIZE STARCH, RICE FLOUR, POTATO STARCH, SKIM MILK POWDER, MILK PROTEIN, GUAR GUM, DEXTROSE, MODIFIED CELLULOSE), EGGS, WATER.	4
0008005914193	Tender Spinach, Whipped Potatoes & Cheddar Cheese In A Pierogi Shell	4	FILLING: WATER, CHEDDAR CHEESE (MILK, ENZYMES, SALT), SPINACH, POTATO FLAKE (POTATOES, MONOGLYCERIDES, SODIUM ACID PYROPHOSPHATE, CITRIC ACID), BLENDED OIL (CANOLA, OLIVE), SALT, BLACK PEPPER. DOUGH: BLEACHED WHEAT FLOUR, WATER, POTATO FLOUR (POTATOES, MONOGLYCERIDES), EGGS.	4
0008005914865	Pierogi	4	FILLING: WATER, ONIONS, POTATO FLAKE (POTATOES, MONOGLYCERIDES, SODIUM ACID PYROPHOSPHATE, CITRIC ACID), CHEDDAR CHEESE (MILK, ENZYMES, SALT), BUTTER, BLENDED OIL (CANOLA, OLIVE), SALT, BLACK PEPPER, ONION POWDER, DOUGH: BLEACHED WHEAT FLOUR, WATER, POTATO FLOUR (POTATOES, MONOGLYCERIDES), EGGS.	4
0008006915137	Ravioli	4	FILLING: RICOTTA CHEESE (MILK, WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), ASIAGO CHEESE (PASTEURIZED PART SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), MILK, PARMESAN CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), BREADCRUMB (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST, SEA SALT), PARMESAN FLAVOR (PARMESAN CHEESE {MILK, CULTURE, SALT, ENZYMES}, SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL, OLIVE OIL, CREAM POWDER, SUGAR AND NATURAL FLAVORING), EGGS, BLACK PEPPER, SALT. PASTA: DURUM FLOUR, WATER, EGGS, SPINACH POWDER, ANNATTO OIL, PAPRIKA OIL, BETA-CAROTENE.	4
0008006958011	Tomato, Basil & Mozzarella Rovioli	4	FILLING: RICOTTA CHEESE (MILK. WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK. CULTURE, SALT, ENZYMES), TOMATOES, PARMESAN CHEESE (MILK, SALT, ENZYMES), PARMESAN FLAVOR (PARMESAN CHEESE {MILK, CULTURE, SALT, ENZYMES} SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL. OLIVE OIL, CREAM POWDER, SUGAR AND NATURAL FLAVORING), EGGS, BASIL, PARSLEY, BREAD CRUMBS (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST. SEA SALT), SALT, BLACK PEPPER. PASTA: DURUM FLOUR, WATER, EGGS, BETA-CAROTENE.	4
0008006958554	Ravioli	4	FILLING: RICOTTA CHEESE (MILK, WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), ASIAGO CHEESE (PASTEURIZED PART SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), MILK, PARMESAN CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), BREADCRUMB (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST, SEA SALT), PARMESAN FLAVOR (PARMESAN CHEESE {MILK, CULTURE, SALT, ENZYMES}, SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL, OLIVE OIL, CREAM POWDER, SUGAR AND NATURAL FLAVORING), EGGS, BLACK PEPPER, SALT. PASTA: DURUM FLOUR, WATER, EGGS, SPINACH POWDER, ANNATTO OIL, PAPRIKA OIL, BETA-CAROTENE.	4
0008006958936	Shrimp Scampi Ravioli	4	FILLING: SHRIMP, RICOTTA CHEESE (MILK, WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), GLYCERINE, WHITE WINE, BREAD CRUMBS (WHEAT FLOUR, SUGAR, YEAST, SALT), BUTTER, FLOUR, GARLIC, HEAVY CREAM, PARSLEY, SHRIMP POWDER (SHRIMP), LEMON JUICE, SALT, EGGS, PAPRIKA OIL, BLACK PEPPER, CAYENNE PEPPER. PASTA: DURUM FLOUR, WATER, EGGS, BETA-CAROTENE.	4
0008009958223	Kale, Hummus & Chicckpea Ravioli	4	FILLING: KALE, HUMMUS (CHICKPEAS, SUNFLOWER OIL, OLIVE OIL, SESAME TAHINI, WATER, SEA SALT, CITRIC ACID, GARLIC, GUAR GUM, CUMIN), CHICKPEAS, RICOTTA CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), CHEDDAR CHEESE (MILK, ENZYMES, SALT), ROMANO CHEESE (MILK, SALT, ENZYMES), ASIAGO CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), BREAD CRUMBS (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST, SEA SALT), GARLIC, ROMANO FLAVOR (ROMANO CHEESE {MILK, CULTURE, SALT, ENZYMES}, SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL, OLIVE OIL, CREME POWDER, NON-FAT DRY MILK, OLIVE OIL, ONION POWDER, GARLIC POWDER), BLENDED OIL (CANOLA, OLIVE), LEMON JUICE, RED PEPPER, BLACK PEPPER, SALT.	4
0008009995020	Classic Cheese Ravioli	4	FILLING: RICOTTA CHEESE (MILK, WHEY, CREAM, VINEGAR, SALT, NATURAL STABILIZERS [XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM]), CHEDDAR CHEESE (MILK, ENZYMES, SALT), MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK, CULTURE, SALT, ENZYMES), BRIE CHEESE (PASTEURIZED CULTURED MILK AND CREAM, SALT, ENZYMES), MILK, PARMESAN FLAVOR (PARMESAN CHEESE {MILK, CULTURE, SALT, ENZYMES}, SALT, YEAST EXTRACT, UNSALTED BUTTER, CORN OIL, OLIVE OIL, CREME POWDER, SUGAR AND NATURAL FLAVORING), BREADCRUMB (WHEAT FLOUR, EVAPORATED CANE SYRUP, YEAST, SEA SALT), EGGS, SALT, BLACK PEPPER.	4
0008077101118	Yan Yan Crispy Cracker Stick, Strawberry	4	WHEAT FLOUR, PARTIALLY HYDROGENATED PALM AND CANOLA OILS, SUGAR, WHOLE MILK POWDER, NON-FAT MILK POWDER, CHOCOLATE LIQUOR, COCOA (PROCESSED WITH ALKALI), CHEESE, SALT, SOY LECITHIN, SODIUM BICARBONATE (LEAVENING), YEAST POWDER, ARTIFICIAL FLAVORS, NATURAL COLORING (BETA CAROTENE AND CARAMEL).	4
0008077101132	Yam Yam Double Cream, Chocolate, Strawberry	4	YAM FLOUR	3
